Duration (in seconds),What is your age (# years)?,What is your gender? - Selected Choice,What is your gender? - Prefer to self-describe - Text,In which country do you currently reside?,What is the highest level of formal education that you have attained or plan to attain within the next 2 years?,Select the title most similar to your current role (or most recent title if retired): - Selected Choice,Select the title most similar to your current role (or most recent title if retired): - Other - Text,What is the size of the company where you are employed?,Approximately how many individuals are responsible for data science workloads at your place of business?,Does your current employer incorporate machine learning methods into their business?
336,18-21,Male,-1,India,Bachelor’s degree,Student,-1,,,
296,22-24,Male,-1,India,Bachelor’s degree,Not employed,-1,,,
373,30-34,Male,-1,Netherlands,Bachelor’s degree,Data Analyst,-1,"1000-9,999 employees",2-Jan,We use ML methods for generating insights (but do not put working models into production)
322,25-29,Male,-1,France,Master’s degree,Research Scientist,-1,0-49 employees,9-May,"We have well established ML methods (i.e., models in production for more than 2 years)"
828,22-24,Female,-1,China,Master’s degree,Research Scientist,-1,50-249 employees,20+,We use ML methods for generating insights (but do not put working models into production)
414,35-39,Male,-1,Germany,Master’s degree,Data Scientist,-1,50-249 employees,20+,"We have well established ML methods (i.e., models in production for more than 2 years)"
1017,22-24,Female,-1,Indonesia,Bachelor’s degree,Student,-1,,,
899,30-34,Female,-1,Spain,Doctoral degree,Data Scientist,-1,250-999 employees,14-Oct,"We have well established ML methods (i.e., models in production for more than 2 years)"
821,18-21,Male,-1,India,Bachelor’s degree,Student,-1,,,
533,22-24,Male,-1,Spain,Master’s degree,Student,-1,,,
777,22-24,Male,-1,Morocco,Master’s degree,Data Analyst,-1,0-49 employees,2-Jan,We are exploring ML methods (and may one day put a model into production)
434,30-34,Male,-1,Other,Bachelor’s degree,Other,232,250-999 employees,14-Oct,"We have well established ML methods (i.e., models in production for more than 2 years)"
315,40-44,Female,-1,United Kingdom of Great Britain and Northern Ireland,Master’s degree,Student,-1,,,
349,25-29,Male,-1,Germany,Some college/university study without earning a bachelor’s degree,Data Analyst,-1,50-249 employees,4-Mar,We are exploring ML methods (and may one day put a model into production)
572,25-29,Male,-1,Italy,Master’s degree,Data Scientist,-1,50-249 employees,9-May,We use ML methods for generating insights (but do not put working models into production)
929,25-29,Prefer not to say,-1,Italy,Doctoral degree,Research Scientist,-1,0-49 employees,0,We are exploring ML methods (and may one day put a model into production)
378,22-24,Male,-1,India,Bachelor’s degree,Student,-1,,,
348,35-39,Male,-1,Portugal,Some college/university study without earning a bachelor’s degree,Software Engineer,-1,0-49 employees,0,No (we do not use ML methods)
1400,30-34,Male,-1,Ireland,Master’s degree,Data Analyst,-1,"1000-9,999 employees",14-Oct,We are exploring ML methods (and may one day put a model into production)
531,22-24,Male,-1,Ireland,Master’s degree,Student,-1,,,
432,25-29,Female,-1,Germany,Doctoral degree,Research Scientist,-1,"> 10,000 employees",20+,"We have well established ML methods (i.e., models in production for more than 2 years)"
1058,30-34,Male,-1,Germany,Master’s degree,Data Scientist,-1,50-249 employees,4-Mar,"We have well established ML methods (i.e., models in production for more than 2 years)"
998,35-39,Male,-1,Spain,Bachelor’s degree,Data Analyst,-1,0-49 employees,2-Jan,We are exploring ML methods (and may one day put a model into production)
727,25-29,Male,-1,Netherlands,Master’s degree,Data Scientist,-1,0-49 employees,4-Mar,We use ML methods for generating insights (but do not put working models into production)
279,35-39,Female,-1,India,Master’s degree,Student,-1,,,
545,35-39,Female,-1,India,Professional degree,Other,-1,50-249 employees,15-19,No (we do not use ML methods)
1722,30-34,Male,-1,Italy,Doctoral degree,Software Engineer,-1,0-49 employees,2-Jan,We are exploring ML methods (and may one day put a model into production)
602,18-21,Male,-1,Spain,Bachelor’s degree,Student,-1,,,
523,25-29,Male,-1,Netherlands,Master’s degree,Data Scientist,-1,0-49 employees,4-Mar,"We have well established ML methods (i.e., models in production for more than 2 years)"
3604,45-49,Male,-1,Nigeria,Master’s degree,Software Engineer,-1,50-249 employees,4-Mar,No (we do not use ML methods)
1064,30-34,Male,-1,Nigeria,Master’s degree,Data Analyst,-1,0-49 employees,2-Jan,We are exploring ML methods (and may one day put a model into production)
319,18-21,Male,-1,India,Master’s degree,Student,-1,,,
422,45-49,Male,-1,Germany,Master’s degree,Student,-1,,,
861,45-49,Male,-1,Spain,Master’s degree,Data Scientist,-1,0-49 employees,2-Jan,"We have well established ML methods (i.e., models in production for more than 2 years)"
762,45-49,Female,-1,Portugal,Master’s degree,Data Scientist,-1,250-999 employees,2-Jan,We are exploring ML methods (and may one day put a model into production)
574,40-44,Male,-1,India,Master’s degree,Not employed,-1,,,
1488,35-39,Male,-1,India,Master’s degree,Business Analyst,-1,"> 10,000 employees",9-May,We are exploring ML methods (and may one day put a model into production)
682,35-39,Male,-1,Other,Master’s degree,Data Scientist,-1,"1000-9,999 employees",4-Mar,"We recently started using ML methods (i.e., models in production for less than 2 years)"
322,25-29,Female,-1,Spain,Master’s degree,Data Analyst,-1,50-249 employees,2-Jan,We use ML methods for generating insights (but do not put working models into production)
290,18-21,Male,-1,India,Bachelor’s degree,Software Engineer,-1,0-49 employees,0,We are exploring ML methods (and may one day put a model into production)
1666,25-29,Male,-1,Nigeria,Bachelor’s degree,Data Engineer,-1,0-49 employees,4-Mar,No (we do not use ML methods)
1003,25-29,Male,-1,India,Bachelor’s degree,Other,233,"1000-9,999 employees",20+,We use ML methods for generating insights (but do not put working models into production)
565,25-29,Male,-1,Netherlands,Master’s degree,Research Scientist,-1,250-999 employees,14-Oct,We use ML methods for generating insights (but do not put working models into production)
910,30-34,Male,-1,Egypt,Doctoral degree,Software Engineer,-1,0-49 employees,4-Mar,We are exploring ML methods (and may one day put a model into production)
4436,40-44,Male,-1,Other,Bachelor’s degree,Other,234,250-999 employees,14-Oct,We are exploring ML methods (and may one day put a model into production)
750,35-39,Male,-1,Israel,Doctoral degree,Research Scientist,-1,"> 10,000 employees",20+,"We have well established ML methods (i.e., models in production for more than 2 years)"
3240,30-34,Male,-1,Austria,Master’s degree,Data Scientist,-1,0-49 employees,2-Jan,"We have well established ML methods (i.e., models in production for more than 2 years)"
192,45-49,Female,-1,Poland,No formal education past high school,Other,-1,0-49 employees,0,"We recently started using ML methods (i.e., models in production for less than 2 years)"
878,50-54,Male,-1,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,Software Engineer,-1,50-249 employees,0,No (we do not use ML methods)
679,35-39,Female,-1,Germany,Master’s degree,Research Scientist,-1,50-249 employees,9-May,We are exploring ML methods (and may one day put a model into production)
736,55-59,Male,-1,Italy,Professional degree,DBA/Database Engineer,-1,0-49 employees,2-Jan,We are exploring ML methods (and may one day put a model into production)
329,35-39,Male,-1,Denmark,Doctoral degree,Research Scientist,-1,0-49 employees,14-Oct,"We recently started using ML methods (i.e., models in production for less than 2 years)"
1174,25-29,Male,-1,Bangladesh,Bachelor’s degree,Software Engineer,-1,50-249 employees,0,No (we do not use ML methods)
1247,25-29,Male,-1,Netherlands,Master’s degree,Business Analyst,-1,"> 10,000 employees",20+,No (we do not use ML methods)
502,25-29,Female,-1,Poland,Master’s degree,Data Scientist,-1,"1000-9,999 employees",20+,"We have well established ML methods (i.e., models in production for more than 2 years)"
2580,22-24,Male,-1,Other,Master’s degree,Other,235,250-999 employees,0,No (we do not use ML methods)
743,25-29,Male,-1,Kenya,Master’s degree,Other,-1,0-49 employees,0,No (we do not use ML methods)
391,30-34,Male,-1,Ukraine,Doctoral degree,Product/Project Manager,-1,50-249 employees,2-Jan,No (we do not use ML methods)
251,25-29,Male,-1,Germany,Master’s degree,Software Engineer,-1,250-999 employees,9-May,"We recently started using ML methods (i.e., models in production for less than 2 years)"
423,25-29,Male,-1,United Kingdom of Great Britain and Northern Ireland,Master’s degree,Other,236,"1000-9,999 employees",15-19,"We recently started using ML methods (i.e., models in production for less than 2 years)"
3071,30-34,Male,-1,Russia,Master’s degree,Data Analyst,-1,"1000-9,999 employees",14-Oct,"We recently started using ML methods (i.e., models in production for less than 2 years)"
707,30-34,Male,-1,Italy,Master’s degree,Data Engineer,-1,"1000-9,999 employees",20+,"We recently started using ML methods (i.e., models in production for less than 2 years)"
1007,25-29,Male,-1,India,Bachelor’s degree,Data Scientist,-1,"> 10,000 employees",20+,We use ML methods for generating insights (but do not put working models into production)
783,35-39,Male,-1,India,Master’s degree,DBA/Database Engineer,-1,"1000-9,999 employees",20+,We are exploring ML methods (and may one day put a model into production)
492,22-24,Male,-1,India,Bachelor’s degree,Software Engineer,-1,0-49 employees,9-May,We are exploring ML methods (and may one day put a model into production)
7168,35-39,Female,-1,Taiwan,Master’s degree,Business Analyst,-1,250-999 employees,2-Jan,No (we do not use ML methods)
379,18-21,Male,-1,India,Bachelor’s degree,Student,-1,,,
4054,35-39,Male,-1,Other,Bachelor’s degree,Data Analyst,-1,"1000-9,999 employees",20+,"We have well established ML methods (i.e., models in production for more than 2 years)"
3303,25-29,Male,-1,India,Master’s degree,Business Analyst,-1,50-249 employees,14-Oct,We are exploring ML methods (and may one day put a model into production)
6403,50-54,Female,-1,Ukraine,I prefer not to answer,Other,77,"1000-9,999 employees",0,No (we do not use ML methods)
1318,45-49,Male,-1,South Korea,Bachelor’s degree,Software Engineer,-1,0-49 employees,4-Mar,"We have well established ML methods (i.e., models in production for more than 2 years)"
478,25-29,Male,-1,Viet Nam,Master’s degree,Data Scientist,-1,0-49 employees,9-May,"We recently started using ML methods (i.e., models in production for less than 2 years)"
8923,30-34,Male,-1,Germany,Master’s degree,Student,-1,,,
325,35-39,Male,-1,Morocco,Professional degree,Data Analyst,-1,50-249 employees,4-Mar,"We recently started using ML methods (i.e., models in production for less than 2 years)"
550,25-29,Female,-1,Portugal,Master’s degree,Data Scientist,-1,250-999 employees,14-Oct,"We recently started using ML methods (i.e., models in production for less than 2 years)"
861,35-39,Male,-1,Other,Master’s degree,Research Scientist,-1,50-249 employees,2-Jan,No (we do not use ML methods)
567,35-39,Male,-1,Russia,Master’s degree,Research Scientist,-1,250-999 employees,4-Mar,We are exploring ML methods (and may one day put a model into production)
400,40-44,Male,-1,France,Master’s degree,Data Analyst,-1,"> 10,000 employees",14-Oct,We are exploring ML methods (and may one day put a model into production)
375,25-29,Male,-1,Russia,Master’s degree,Software Engineer,-1,"1000-9,999 employees",20+,"We have well established ML methods (i.e., models in production for more than 2 years)"
576,25-29,Male,-1,Nigeria,Bachelor’s degree,Student,-1,,,
394,22-24,Male,-1,Taiwan,Master’s degree,Student,-1,,,
637,30-34,Male,-1,China,Master’s degree,Data Analyst,-1,250-999 employees,2-Jan,No (we do not use ML methods)
600,25-29,Male,-1,China,Master’s degree,Research Scientist,-1,"1000-9,999 employees",15-19,"We recently started using ML methods (i.e., models in production for less than 2 years)"
3192,30-34,Female,-1,India,Doctoral degree,Data Engineer,-1,0-49 employees,9-May,We use ML methods for generating insights (but do not put working models into production)
507,25-29,Male,-1,Portugal,Doctoral degree,Student,-1,,,
282,25-29,Male,-1,India,Master’s degree,Other,37,0-49 employees,2-Jan,We are exploring ML methods (and may one day put a model into production)
4153,25-29,Female,-1,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,Data Scientist,-1,0-49 employees,4-Mar,"We recently started using ML methods (i.e., models in production for less than 2 years)"
142,70+,Prefer not to say,-1,Other,I prefer not to answer,Not employed,-1,,,
40963,22-24,Male,-1,Spain,Bachelor’s degree,Business Analyst,-1,50-249 employees,9-May,We use ML methods for generating insights (but do not put working models into production)
557,50-54,Male,-1,South Africa,Bachelor’s degree,Other,237,50-249 employees,2-Jan,No (we do not use ML methods)
394,25-29,Male,-1,Italy,Master’s degree,Data Engineer,-1,0-49 employees,0,I do not know
960,30-34,Male,-1,Australia,Master’s degree,Data Scientist,-1,250-999 employees,14-Oct,"We recently started using ML methods (i.e., models in production for less than 2 years)"
455,55-59,Male,-1,Ireland,Master’s degree,Product/Project Manager,-1,250-999 employees,2-Jan,No (we do not use ML methods)
398,18-21,Male,-1,India,Master’s degree,Student,-1,,,
738,25-29,Male,-1,Indonesia,Master’s degree,Data Scientist,-1,0-49 employees,2-Jan,We use ML methods for generating insights (but do not put working models into production)
1007,30-34,Female,-1,Spain,Master’s degree,Data Scientist,-1,50-249 employees,20+,We use ML methods for generating insights (but do not put working models into production)
2298,50-54,Male,-1,Sweden,Master’s degree,Data Engineer,-1,250-999 employees,9-May,We are exploring ML methods (and may one day put a model into production)
301,22-24,Male,-1,Russia,Master’s degree,Student,-1,,,
344,22-24,Male,-1,India,Master’s degree,Statistician,-1,0-49 employees,0,I do not know
1685,25-29,Male,-1,China,Professional degree,Data Scientist,-1,0-49 employees,9-May,"We recently started using ML methods (i.e., models in production for less than 2 years)"
607,35-39,Male,-1,India,Master’s degree,Business Analyst,-1,"1000-9,999 employees",20+,"We recently started using ML methods (i.e., models in production for less than 2 years)"
492,60-69,Male,-1,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,Business Analyst,-1,0-49 employees,2-Jan,We are exploring ML methods (and may one day put a model into production)
623,45-49,Male,-1,Romania,Master’s degree,Data Scientist,-1,"> 10,000 employees",20+,"We have well established ML methods (i.e., models in production for more than 2 years)"
465,25-29,Female,-1,Portugal,Master’s degree,Data Scientist,-1,250-999 employees,20+,"We have well established ML methods (i.e., models in production for more than 2 years)"
10823,25-29,Male,-1,Germany,Master’s degree,DBA/Database Engineer,-1,"> 10,000 employees",4-Mar,We are exploring ML methods (and may one day put a model into production)
712,22-24,Male,-1,Turkey,Master’s degree,Software Engineer,-1,0-49 employees,0,I do not know
508,22-24,Male,-1,France,Master’s degree,Data Scientist,-1,50-249 employees,4-Mar,We are exploring ML methods (and may one day put a model into production)
1213,30-34,Male,-1,Hungary,Master’s degree,Data Scientist,-1,0-49 employees,2-Jan,"We have well established ML methods (i.e., models in production for more than 2 years)"
1871,35-39,Male,-1,Kenya,Master’s degree,Product/Project Manager,-1,50-249 employees,4-Mar,We are exploring ML methods (and may one day put a model into production)
321,45-49,Male,-1,Spain,Master’s degree,Other,238,250-999 employees,0,No (we do not use ML methods)
271,18-21,Male,-1,Other,Some college/university study without earning a bachelor’s degree,Software Engineer,-1,0-49 employees,2-Jan,We are exploring ML methods (and may one day put a model into production)
837,35-39,Male,-1,South Africa,No formal education past high school,Software Engineer,-1,0-49 employees,2-Jan,We are exploring ML methods (and may one day put a model into production)
546,35-39,Male,-1,Other,Bachelor’s degree,DBA/Database Engineer,-1,0-49 employees,0,We are exploring ML methods (and may one day put a model into production)
250,22-24,Male,-1,Nigeria,Bachelor’s degree,Not employed,-1,,,
483,50-54,Male,-1,Morocco,Master’s degree,Other,239,50-249 employees,9-May,No (we do not use ML methods)
436,22-24,Male,-1,Turkey,Master’s degree,Student,-1,,,
1117,30-34,Male,-1,Germany,Bachelor’s degree,Software Engineer,-1,"> 10,000 employees",20+,We use ML methods for generating insights (but do not put working models into production)
343,18-21,Male,-1,India,Bachelor’s degree,Student,-1,,,
5849,18-21,Male,-1,Bangladesh,Bachelor’s degree,Software Engineer,-1,0-49 employees,2-Jan,We use ML methods for generating insights (but do not put working models into production)
5561,35-39,Male,-1,Pakistan,Doctoral degree,Data Scientist,-1,"1000-9,999 employees",14-Oct,"We recently started using ML methods (i.e., models in production for less than 2 years)"
561,25-29,Male,-1,Russia,Master’s degree,Research Scientist,-1,"> 10,000 employees",20+,"We have well established ML methods (i.e., models in production for more than 2 years)"
906,50-54,Male,-1,Australia,Doctoral degree,Other,240,"1000-9,999 employees",14-Oct,We are exploring ML methods (and may one day put a model into production)
1078,25-29,Male,-1,Singapore,Bachelor’s degree,Data Engineer,-1,"> 10,000 employees",9-May,We use ML methods for generating insights (but do not put working models into production)
351,25-29,Female,-1,Germany,Master’s degree,Data Analyst,-1,250-999 employees,2-Jan,We use ML methods for generating insights (but do not put working models into production)
496,25-29,Male,-1,United Kingdom of Great Britain and Northern Ireland,Doctoral degree,Research Scientist,-1,0-49 employees,4-Mar,"We recently started using ML methods (i.e., models in production for less than 2 years)"
560,30-34,Male,-1,Nigeria,Master’s degree,Other,241,"> 10,000 employees",0,No (we do not use ML methods)
390,18-21,Male,-1,India,Professional degree,Student,-1,,,
486,35-39,Male,-1,Morocco,Master’s degree,Statistician,-1,"1000-9,999 employees",4-Mar,"We recently started using ML methods (i.e., models in production for less than 2 years)"
361,35-39,Male,-1,Other,Bachelor’s degree,Software Engineer,-1,"> 10,000 employees",14-Oct,I do not know
671,25-29,Female,-1,France,Doctoral degree,Statistician,-1,0-49 employees,4-Mar,"We have well established ML methods (i.e., models in production for more than 2 years)"
586,18-21,Male,-1,India,Bachelor’s degree,Data Scientist,-1,"> 10,000 employees",20+,We use ML methods for generating insights (but do not put working models into production)
1098,25-29,Male,-1,Nigeria,Master’s degree,Data Analyst,-1,250-999 employees,2-Jan,No (we do not use ML methods)
1728,18-21,Male,-1,China,Some college/university study without earning a bachelor’s degree,Data Scientist,-1,50-249 employees,2-Jan,We use ML methods for generating insights (but do not put working models into production)
729,55-59,Male,-1,Germany,Doctoral degree,Software Engineer,-1,250-999 employees,0,We use ML methods for generating insights (but do not put working models into production)
562,40-44,Male,-1,Ireland,Master’s degree,Data Scientist,-1,0-49 employees,4-Mar,"We have well established ML methods (i.e., models in production for more than 2 years)"
1119,30-34,Male,-1,Russia,Doctoral degree,Data Engineer,-1,0-49 employees,2-Jan,"We recently started using ML methods (i.e., models in production for less than 2 years)"
748,25-29,Male,-1,Tunisia,Master’s degree,Other,126,50-249 employees,4-Mar,"We recently started using ML methods (i.e., models in production for less than 2 years)"
1570,30-34,Male,-1,Spain,Bachelor’s degree,Other,242,0-49 employees,2-Jan,We are exploring ML methods (and may one day put a model into production)
1421,25-29,Male,-1,India,Bachelor’s degree,Data Analyst,-1,250-999 employees,9-May,I do not know
162,25-29,Female,-1,India,Master’s degree,Not employed,-1,,,
745,22-24,Male,-1,Morocco,Master’s degree,Student,-1,,,
438,18-21,Male,-1,Kenya,Some college/university study without earning a bachelor’s degree,Student,-1,,,
755,30-34,Male,-1,Other,Master’s degree,Not employed,-1,,,
937,22-24,Male,-1,Nigeria,Bachelor’s degree,Data Scientist,-1,50-249 employees,2-Jan,No (we do not use ML methods)
572,25-29,Male,-1,Brazil,Bachelor’s degree,Data Engineer,-1,250-999 employees,14-Oct,"We recently started using ML methods (i.e., models in production for less than 2 years)"
1736,18-21,Male,-1,India,Master’s degree,Other,243,250-999 employees,20+,"We recently started using ML methods (i.e., models in production for less than 2 years)"
397,40-44,Male,-1,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,Data Scientist,-1,"1000-9,999 employees",20+,"We have well established ML methods (i.e., models in production for more than 2 years)"
2549,22-24,Male,-1,Saudi Arabia,Bachelor’s degree,Data Analyst,-1,50-249 employees,4-Mar,"We recently started using ML methods (i.e., models in production for less than 2 years)"
419,55-59,Male,-1,Spain,Some college/university study without earning a bachelor’s degree,Not employed,-1,,,
1278,25-29,Male,-1,Czech Republic,Master’s degree,Software Engineer,-1,50-249 employees,15-19,"We have well established ML methods (i.e., models in production for more than 2 years)"
647,45-49,Female,-1,Belgium,Master’s degree,Data Analyst,-1,250-999 employees,14-Oct,"We have well established ML methods (i.e., models in production for more than 2 years)"
1313,25-29,Female,-1,Germany,Doctoral degree,Data Scientist,-1,0-49 employees,4-Mar,"We recently started using ML methods (i.e., models in production for less than 2 years)"
3887,22-24,Male,-1,Poland,Master’s degree,Other,244,50-249 employees,2-Jan,We are exploring ML methods (and may one day put a model into production)
1668,50-54,Male,-1,India,Master’s degree,Product/Project Manager,-1,"> 10,000 employees",20+,"We have well established ML methods (i.e., models in production for more than 2 years)"
2219,25-29,Male,-1,Italy,Master’s degree,Data Scientist,-1,"> 10,000 employees",9-May,"We have well established ML methods (i.e., models in production for more than 2 years)"
929,30-34,Female,-1,Denmark,Master’s degree,Data Scientist,-1,"1000-9,999 employees",4-Mar,"We recently started using ML methods (i.e., models in production for less than 2 years)"
468,55-59,Female,-1,Japan,Doctoral degree,Data Scientist,-1,"> 10,000 employees",2-Jan,"We recently started using ML methods (i.e., models in production for less than 2 years)"
326,25-29,Female,-1,Other,Master’s degree,Software Engineer,-1,0-49 employees,2-Jan,No (we do not use ML methods)
1951,25-29,Female,-1,Taiwan,Master’s degree,Data Scientist,-1,"> 10,000 employees",2-Jan,We use ML methods for generating insights (but do not put working models into production)
924,30-34,Prefer to self-describe,0,United Kingdom of Great Britain and Northern Ireland,Doctoral degree,Other,245,"1000-9,999 employees",20+,"We recently started using ML methods (i.e., models in production for less than 2 years)"
791,25-29,Male,-1,India,Doctoral degree,Research Scientist,-1,250-999 employees,4-Mar,We use ML methods for generating insights (but do not put working models into production)
955,40-44,Male,-1,South Korea,Master’s degree,Data Scientist,-1,0-49 employees,9-May,"We recently started using ML methods (i.e., models in production for less than 2 years)"
262,25-29,Male,-1,India,Bachelor’s degree,Software Engineer,-1,"> 10,000 employees",20+,I do not know
11447,22-24,Female,-1,Spain,I prefer not to answer,Software Engineer,-1,"1000-9,999 employees",0,No (we do not use ML methods)
866,25-29,Male,-1,France,Master’s degree,Data Scientist,-1,50-249 employees,9-May,"We recently started using ML methods (i.e., models in production for less than 2 years)"
571,35-39,Male,-1,Other,Master’s degree,Software Engineer,-1,250-999 employees,20+,We use ML methods for generating insights (but do not put working models into production)
11449,30-34,Male,-1,Russia,Master’s degree,Software Engineer,-1,"1000-9,999 employees",14-Oct,No (we do not use ML methods)
1052,45-49,Male,-1,United Kingdom of Great Britain and Northern Ireland,I prefer not to answer,Not employed,-1,,,
616,50-54,Male,-1,United Kingdom of Great Britain and Northern Ireland,Master’s degree,Data Scientist,-1,"> 10,000 employees",20+,"We have well established ML methods (i.e., models in production for more than 2 years)"
1399,25-29,Male,-1,Japan,Master’s degree,Software Engineer,-1,0-49 employees,2-Jan,We are exploring ML methods (and may one day put a model into production)
8425,30-34,Female,-1,Thailand,Master’s degree,Data Scientist,-1,"> 10,000 employees",20+,"We recently started using ML methods (i.e., models in production for less than 2 years)"
1492,55-59,Male,-1,United Kingdom of Great Britain and Northern Ireland,Doctoral degree,Research Scientist,-1,"1000-9,999 employees",20+,"We have well established ML methods (i.e., models in production for more than 2 years)"
1403,30-34,Male,-1,Germany,Doctoral degree,Data Scientist,-1,0-49 employees,2-Jan,"We have well established ML methods (i.e., models in production for more than 2 years)"
1146,18-21,Male,-1,Greece,Master’s degree,Student,-1,,,
543,45-49,Prefer not to say,-1,Belgium,Master’s degree,Not employed,-1,,,
462,22-24,Female,-1,Italy,Master’s degree,Data Analyst,-1,250-999 employees,2-Jan,I do not know
3013,55-59,Female,-1,Netherlands,Master’s degree,Data Engineer,-1,250-999 employees,2-Jan,We use ML methods for generating insights (but do not put working models into production)
506,25-29,Male,-1,South Africa,Master’s degree,Student,-1,,,
468,30-34,Male,-1,India,Master’s degree,Student,-1,,,
408,25-29,Female,-1,India,Bachelor’s degree,Research Scientist,-1,0-49 employees,0,We use ML methods for generating insights (but do not put working models into production)
509,30-34,Male,-1,India,Professional degree,Data Scientist,-1,250-999 employees,14-Oct,"We recently started using ML methods (i.e., models in production for less than 2 years)"
520,22-24,Male,-1,Indonesia,Master’s degree,Data Analyst,-1,250-999 employees,9-May,"We recently started using ML methods (i.e., models in production for less than 2 years)"
1810,40-44,Male,-1,Pakistan,Doctoral degree,Research Scientist,-1,250-999 employees,20+,No (we do not use ML methods)
574,22-24,Male,-1,Spain,Master’s degree,Data Engineer,-1,50-249 employees,9-May,"We have well established ML methods (i.e., models in production for more than 2 years)"
1467,35-39,Male,-1,India,Master’s degree,Data Scientist,-1,"1000-9,999 employees",4-Mar,We use ML methods for generating insights (but do not put working models into production)
2691,25-29,Male,-1,Other,Master’s degree,Software Engineer,-1,0-49 employees,0,No (we do not use ML methods)
881,40-44,Male,-1,Brazil,Bachelor’s degree,Software Engineer,-1,50-249 employees,2-Jan,No (we do not use ML methods)
353,45-49,Prefer to self-describe,0,Germany,Some college/university study without earning a bachelor’s degree,Software Engineer,-1,"1000-9,999 employees",20+,"We have well established ML methods (i.e., models in production for more than 2 years)"
332,22-24,Female,-1,Russia,Master’s degree,Other,246,"1000-9,999 employees",20+,I do not know
7880,25-29,Male,-1,Spain,Master’s degree,Data Scientist,-1,0-49 employees,20+,"We recently started using ML methods (i.e., models in production for less than 2 years)"
725,35-39,Female,-1,Ireland,Master’s degree,Data Scientist,-1,0-49 employees,2-Jan,We are exploring ML methods (and may one day put a model into production)
8410,22-24,Male,-1,India,Master’s degree,Other,247,"> 10,000 employees",9-May,"We recently started using ML methods (i.e., models in production for less than 2 years)"
926,25-29,Male,-1,Nigeria,Bachelor’s degree,Data Engineer,-1,"1000-9,999 employees",4-Mar,We are exploring ML methods (and may one day put a model into production)
617,45-49,Female,-1,Spain,Master’s degree,Data Scientist,-1,0-49 employees,4-Mar,No (we do not use ML methods)
519,22-24,Male,-1,Taiwan,Master’s degree,Student,-1,,,
330,18-21,Male,-1,India,Master’s degree,Data Analyst,-1,50-249 employees,4-Mar,"We recently started using ML methods (i.e., models in production for less than 2 years)"
537,22-24,Male,-1,Spain,Master’s degree,Data Scientist,-1,"1000-9,999 employees",4-Mar,We are exploring ML methods (and may one day put a model into production)
365,55-59,Male,-1,Germany,Master’s degree,Software Engineer,-1,0-49 employees,2-Jan,No (we do not use ML methods)
464,35-39,Male,-1,United Kingdom of Great Britain and Northern Ireland,Some college/university study without earning a bachelor’s degree,Data Engineer,-1,"1000-9,999 employees",9-May,We are exploring ML methods (and may one day put a model into production)
762,40-44,Male,-1,Algeria,Master’s degree,Business Analyst,-1,50-249 employees,0,No (we do not use ML methods)
440,18-21,Male,-1,Morocco,Bachelor’s degree,Not employed,-1,,,
469,25-29,Male,-1,Denmark,Doctoral degree,Research Scientist,-1,250-999 employees,20+,"We have well established ML methods (i.e., models in production for more than 2 years)"
1605,22-24,Female,-1,Pakistan,Master’s degree,Data Scientist,-1,0-49 employees,2-Jan,We are exploring ML methods (and may one day put a model into production)
517,35-39,Male,-1,Germany,Doctoral degree,Data Scientist,-1,250-999 employees,9-May,We use ML methods for generating insights (but do not put working models into production)
391,30-34,Male,-1,Malaysia,Doctoral degree,Not employed,-1,,,
362,18-21,Male,-1,Poland,Master’s degree,Business Analyst,-1,"> 10,000 employees",0,I do not know
2003,30-34,Male,-1,Other,Doctoral degree,Research Scientist,-1,50-249 employees,14-Oct,We use ML methods for generating insights (but do not put working models into production)
527,50-54,Male,-1,Italy,Master’s degree,Data Analyst,-1,250-999 employees,0,No (we do not use ML methods)
377,22-24,Male,-1,Portugal,Doctoral degree,Research Scientist,-1,250-999 employees,20+,We use ML methods for generating insights (but do not put working models into production)
273,30-34,Male,-1,Netherlands,Some college/university study without earning a bachelor’s degree,Business Analyst,-1,50-249 employees,4-Mar,No (we do not use ML methods)
1327,30-34,Male,-1,Bangladesh,Doctoral degree,Statistician,-1,"1000-9,999 employees",14-Oct,I do not know
751,18-21,Male,-1,India,Bachelor’s degree,Student,-1,,,
280,25-29,Male,-1,Germany,Master’s degree,Student,-1,,,
293,35-39,Male,-1,Russia,Master’s degree,Other,-1,0-49 employees,2-Jan,We are exploring ML methods (and may one day put a model into production)
426,25-29,Female,-1,Indonesia,Master’s degree,Data Scientist,-1,50-249 employees,9-May,"We recently started using ML methods (i.e., models in production for less than 2 years)"
817,22-24,Male,-1,Egypt,Bachelor’s degree,Data Scientist,-1,0-49 employees,9-May,We are exploring ML methods (and may one day put a model into production)
495,25-29,Male,-1,Hungary,Master’s degree,Data Scientist,-1,50-249 employees,9-May,We are exploring ML methods (and may one day put a model into production)
56854,60-69,Male,-1,Belgium,Master’s degree,Other,22,"1000-9,999 employees",20+,I do not know
448,25-29,Male,-1,Other,Master’s degree,Data Scientist,-1,0-49 employees,2-Jan,"We recently started using ML methods (i.e., models in production for less than 2 years)"
